experiment_id,ms_id,time,met_id,labelled_atom_ids,unlabelled_atoms,intensity,intensity_std_error,mass_isotope,measurement_replicate
exp1,B1,0,B,"[1, 2, 3]",,1.0011583800228516 -0.0008825961892545596 -0.003246202637835992 -0.003157077144909833,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,B1,1,B,"[1, 2, 3]",,0.36129028877957053 0.6272703234638802 0.0026311609273225248 0.002710238350125912,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,B1,2,B,"[1, 2, 3]",,0.12870829185161 0.8455794292789415 0.030937331580548236 -0.008341952665741148,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,B1,3,B,"[1, 2, 3]",,0.04319002437065214 0.9120373493819857 0.049939097270552436 -0.0002534114745367205,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,B1,4,B,"[1, 2, 3]",,0.01768585808899329 0.9289630462143205 0.05658955217077215 0.00017735428858055345,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,E1,0,E,[1],,0.9989996571030133 -0.0007402021426471305,0.003 0.003,0 1,1
exp1,E1,1,E,[1],,0.9794922871335995 0.01654729985585402,0.003 0.003,0 1,1
exp1,E1,2,E,[1],,0.9646586031795716 0.03611313765686645,0.003 0.003,0 1,1
exp1,E1,3,E,[1],,0.9438704291023434 0.0548897450811062,0.003 0.003,0 1,1
exp1,E1,4,E,[1],,0.9369736215713337 0.05978897306203984,0.003 0.003,0 1,1
exp1,F1,0,F,"[1, 2, 3]",,0.9989566762247077 0.0027779865780079194 -0.0023251187139707043 0.0018781465497212024,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,F1,1,F,"[1, 2, 3]",,0.7575845120916902 0.2271426492788627 0.015414690993892935 0.0052284194207989935,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,F1,2,F,"[1, 2, 3]",,0.44488675933410343 0.4911477532230167 0.06150921339373765 -0.004378666034680278,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,F1,3,F,"[1, 2, 3]",,0.22855108724366477 0.6537276583524216 0.11200707028973185 -0.0014607602788732671,0.003 0.003 0.003 0.003,0 1 2 3,1
exp1,F1,4,F,"[1, 2, 3]",,0.11606054466131552 0.7305137971474849 0.1460639272889526 -0.005892023493133177,0.003 0.003 0.003 0.003,0 1 2 3,1
