experiment_id,ms_id,time,met_id,labelled_atom_ids,unlabelled_atoms,intensity,intensity_std_error,mass_isotope,measurement_replicate
simulation1,Alanine232,inf,ALA,"[2, 3]",C8H26ONSi2,0.6694304279961227 0.23197588796160637 0.0718920825059113,0.003 0.003 0.003,0 1 2,1
simulation1,Alanine260,inf,ALA,"[1, 2, 3]",C8H26O2NSi2,0.43883181549643446 0.3915982904032226 0.12402004623320821 0.03977863415593226,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Asparticacid302,inf,ASP,"[1, 2]",C12H32O2NSi2,0.5638230058424507 0.30125862180230406 0.10213405940857338,0.003 0.003 0.003,0 1 2,1
simulation1,Asparticacid390,inf,ASP,"[2, 3, 4]",C14H40O3NSi3,0.4604069256231648 0.32709176459426753 0.1466747114202492 0.05013026908510633,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Asparticacid418,inf,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,0.37788629954998393 0.3507645937246549 0.17930948841697456 0.06342445186316342 0.0203300857074325,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation1,Glutamicacid330,inf,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,0.5101506364480143 0.31783166324514484 0.12636834528762805 0.032545823373268584 0.010192744386702974,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation1,Glutamicacid432,inf,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,0.38439859520582265 0.34653841999251256 0.17633051888703621 0.07362962103606571 0.020375513616291342,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation1,Glycine218,inf,GL,[2],C8H24ONSi2,0.7352466442941815 0.18477031640277738,0.003 0.003,0 1,1
simulation1,Glycine246,inf,GL,"[1, 2]",C8H24O2NSi2,0.5980972793867452 0.2800535574228769 0.08668093725965718,0.003 0.003 0.003,0 1 2,1
simulation1,Histidine338,inf,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,0.4117310510467187 0.3684245026229305 0.16404228828208284 0.05266159833167362 0.009687146493486256 -0.0021249151127984266,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
